time,slope,tempratue,padel rotation,throttle,speed,current
152,-0.44,33.33,28,436,24.88,2.69
153,-0.47,33.28,28,378,23.06,2.48
154,0.06,33.28,28,393,19.97,2.56
155,0.78,33.28,28,216,18.47,2.53
156,1.68,33.33,28,237,17.82,2.69
157,2.51,33.33,28,215,18.45,1.69
158,3.88,33.33,28,219,18.12,1.11
159,5.24,33.28,28,219,19.99,1.16
160,5.19,33.24,28,229,20.58,1.35
161,4.75,33.38,28,228,21.83,1.43
162,5.36,33.24,28,275,22.42,1.56
163,5.71,33.28,28,250,21.83,1.58
164,5.58,33.28,28,250,22.12,1.56
165,5,33.33,28,255,21.22,1.61
94,5.15,31.21,10,539,20.89,0.24
95,5.43,31.17,11,522,21.22,1.21
96,5.49,31.21,12,522,21.22,1
23,5.15,32.53,11,233,19.99,0.69
24,4.51,32.48,11,230,16.28,0.34
25,4.06,32.48,11,230,15.68,0.37
26,3.75,32.58,11,229,18.76,0.34
27,3.85,32.44,12,235,20.27,1
9,-1.1,32.39,0,750,38.13,0.24
16,4.8,33.05,1,1006,12.59,1
24,4.91,33.14,1,852,15.37,8.95
25,3.97,33.09,1,868,1.54,9.05
26,4.11,33.09,1,863,4.3,8.55
29,2.2,33,1,224,2.77,8.39
30,0.55,32.95,1,224,1.54,8.58
31,0.34,33.09,1,223,2.15,8.58
32,1.6,32.91,1,222,5.23,8.58
59,-5.17,33.28,3,865,13.53,8.58
60,-4.61,33.28,3,868,27.37,8.55
61,-3.66,33.09,3,994,28.88,8.58
62,-2.5,33.24,3,998,27.06,8.58
63,-1.5,33.05,3,985,26.42,8.58
64,-1.32,33.28,3,999,24.91,8.47
65,-1.08,33.14,3,1000,23.65,8.58
66,-1.03,33.24,3,1002,23.06,8.5
67,-1.19,33.19,4,1001,23.96,8.5
68,-1.12,33.24,6,1000,22.45,8.45
69,-1.18,33.14,7,999,23.65,8.53
70,-1.21,33.19,8,1004,22.45,1.37
71,-1.23,33.14,9,1000,24.88,9
72,-0.99,33.19,10,1000,31.7,8.47
73,-1.17,33.19,11,1001,43.62,1.74
74,-1.17,33.14,12,1000,43.36,8.66
75,-1.26,33.09,13,1014,27.03,8.39
306,-2.48,26.46,2,230,4.3,0.66
307,-1.89,26.46,2,227,5.84,0.66
308,-1.89,26.46,2,228,7.37,0.69
309,-1.95,26.65,2,226,9.22,0.69
310,-0.93,26.6,3,224,13.82,0.71
311,-0.99,26.65,3,227,9.85,0.71
312,-1.12,26.51,3,227,12.9,0.69
313,-1.39,26.55,3,226,3.07,0.69
9,-4.93,27.12,2,430,16.31,0.55
10,4.89,27.12,3,973,16.59,0.58
11,4.52,27.17,3,974,13.84,0.66
12,4.06,27.21,3,972,15.05,0.61
13,4.51,27.26,3,972,13.84,0.61
14,2.89,27.4,3,976,15.67,0.58
15,1.73,27.26,3,972,16.6,0.71
16,0.61,27.31,3,975,15.99,0.66
17,-0.32,27.45,3,973,24.91,1
18,-0.93,27.45,3,972,20.89,0.53
19,-0.96,27.49,3,981,39.36,0.53
20,-0.64,27.68,3,973,41.16,0.53
21,-0.4,27.54,3,974,31.36,0.45
22,-0.37,27.64,3,969,25.5,0.48
23,-0.54,27.68,3,970,31.67,0.45
24,-1.01,27.73,3,969,32.25,0.5
25,-0.43,27.68,3,1001,26.44,0.53
26,-0.78,27.78,3,969,23.68,0.42
27,-0.53,27.68,3,973,23.96,0.53
28,-0.23,27.78,3,967,24.93,0.53
29,-0.4,27.73,3,970,23.96,0.5
30,-0.28,27.78,3,959,24.29,0.58
31,0.09,27.78,3,969,26.11,0.61
32,0.79,27.78,3,971,25.83,0.61
33,2.18,27.92,3,493,35.02,0.61
34,1.88,28.01,3,1002,30.44,0.58
9,-5.21,28.29,0,979,24.57,0.45
10,2.13,28.29,0,279,29.24,0.48
11,1.92,28.34,0,288,25.83,0.5
12,0.9,28.44,0,315,22.42,0.48
13,0.45,28.44,0,286,15.68,0.48
14,0.01,28.44,0,335,4.61,0.5
224,-0.67,26.18,2,275,0.62,5.73
225,-0.55,26.27,2,274,0.31,5.7
226,-0.64,26.18,2,355,0.31,5.57
228,-0.45,26.18,2,312,0.92,5.49
229,-0.25,26.22,2,323,3.07,5.54
230,-0.19,26.18,2,316,3.69,5.62
231,-0.2,26.18,2,313,4.61,5.78
232,0.09,26.27,2,304,7.68,5.89
233,-0.06,26.22,3,298,7.39,5.7
234,-0.25,26.32,3,299,4.61,5.65
235,-0.45,26.27,3,326,2.46,5.75
236,-0.83,26.32,3,316,2.46,5.7
237,-1.05,26.37,3,324,2.46,5.73
238,-0.48,26.41,3,320,3.69,5.73
239,-0.48,26.37,3,316,5.84,5.75
240,-0.19,26.37,4,302,12.59,5.78
241,1.47,26.41,4,295,3.38,5.75
249,2.33,26.65,5,833,4.61,6.07
251,3.71,26.79,5,838,44.23,6.23
252,3.95,26.79,5,836,4.61,6.44
253,3.33,26.98,5,839,6.76,6.36
254,2.8,26.98,5,837,13.84,6.36
255,2.34,27.02,5,832,16.59,6.41
256,2.14,27.07,5,767,6.76,6.33
257,1.89,26.98,5,299,9.53,6.15
258,0.9,27.12,5,298,12.91,6.33
259,0.22,27.12,5,298,19.35,6.26
260,-0.6,27.12,5,296,19.06,6.33
261,-0.98,27.21,5,300,10.75,6.31
262,-1.14,27.21,5,305,11.68,6.33
263,-0.84,27.31,5,594,17.53,6.57
264,-1.15,27.31,5,605,19.35,6.68
265,-0.98,27.4,5,725,20.91,6.2
266,-1.89,27.4,5,731,22.42,6.84
267,-1.73,27.49,5,769,27.67,6.23
268,-1.87,27.54,5,878,30.41,6.26
269,-1.52,27.49,5,969,31.06,6.33
270,-1.71,27.59,5,792,32.25,6.31
271,-2.02,27.49,5,989,32.9,6.26
272,-2.1,27.64,5,991,33.18,6.31
273,-2,27.68,5,996,29.55,6.33
274,-1.75,27.73,5,991,29.8,6.31
275,-1.9,27.68,5,993,35.05,6.33
276,-1.86,27.78,5,745,35.63,6.33
